player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against,team_goals,ag_team_goals,90m_player_goals,ag_90m_player_goals,90m_team_goals,ag_90m_team_goals
b'Emanuel Insua',NOB,15.0,20.0,1388.0,491.0,22.0,23.0,7.0,3.0,0.9726224783861671,1.2968299711815563,1.2830957230142566,0.5498981670061099
b'Francisco Cerro',RAC,28.0,17.0,967.0,1760.0,49.0,37.0,21.0,20.0,2.605997931747673,1.5822130299896588,1.0738636363636365,1.0227272727272727
b'Gast?n Lezcano',O'Higgins,0.0,0.0,181.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Rodolfo Rodr?guez',Luqueño,2.0,0.0,94.0,282.0,3.0,4.0,1.0,4.0,1.9148936170212767,0.0,0.3191489361702128,1.2765957446808511
b'Alejandro Camargo',UdeC,2.0,3.0,189.0,0.0,2.0,3.0,0.0,0.0,0.9523809523809523,1.4285714285714286,0.0,0.0
b'Gabriel Jhon Cortez',Independient,0.0,1.0,46.0,1371.0,19.0,14.0,19.0,13.0,0.0,1.9565217391304348,1.2472647702407003,0.8533916849015317
b'Marco Torsiglieri',ROS,0.0,2.0,188.0,2657.0,38.0,29.0,38.0,27.0,0.0,0.9574468085106383,1.2871659766654122,0.9145652992096349
b'Lucas Lopez',Fénix ,1.0,2.0,192.0,0.0,1.0,2.0,0.0,0.0,0.46875,0.9375,0.0,0.0
b'Eduardo Sebastian Ot?rola',Cobresal,1.0,2.0,72.0,398.0,2.0,15.0,1.0,13.0,1.25,2.5,0.22613065326633167,2.9396984924623117
b'Jorge Rodr?guez',BAN,13.0,17.0,1192.0,878.0,22.0,29.0,9.0,12.0,0.9815436241610739,1.2835570469798658,0.9225512528473804,1.2300683371298406
b'Ded?',Cuiaba,2.0,3.0,187.0,0.0,2.0,3.0,0.0,0.0,0.9625668449197861,1.4438502673796791,0.0,0.0
b'Nicol?s Gimenez',TDC,1.0,0.0,42.0,336.0,1.0,3.0,0.0,3.0,2.142857142857143,0.0,0.0,0.8035714285714286
b'Fabi?n Cubero',VEL,17.0,18.0,1294.0,592.0,22.0,26.0,5.0,8.0,1.1823802163833075,1.2519319938176199,0.7601351351351351,1.2162162162162162
b'Johnny Mirabal',Deportivo An,2.0,2.0,189.0,0.0,2.0,2.0,0.0,0.0,0.9523809523809523,0.9523809523809523,0.0,0.0
b'Gonzalo Yordan',VEL,0.0,0.0,28.0,1858.0,22.0,26.0,22.0,26.0,0.0,0.0,1.0656620021528525,1.2594187298170076
b'Christian Camilo Marrugo',DIM,5.0,1.0,254.0,216.0,7.0,3.0,2.0,2.0,1.7716535433070866,0.3543307086614173,0.8333333333333334,0.8333333333333334
b'Victor Malcorra',USF,24.0,21.0,1509.0,375.0,26.0,23.0,2.0,2.0,1.4314115308151094,1.2524850894632207,0.48,0.48
b'Franco Bellocq',ARS,14.0,13.0,970.0,819.0,23.0,19.0,9.0,6.0,1.2989690721649485,1.2061855670103092,0.989010989010989,0.6593406593406593
b'Luis Paz',TOL,0.0,1.0,188.0,752.0,12.0,11.0,12.0,10.0,0.0,0.4787234042553192,1.4361702127659575,1.196808510638298
b'Diego Vera',IND,23.0,10.0,1222.0,936.0,30.0,14.0,7.0,4.0,1.6939443535188217,0.7364975450081833,0.6730769230769231,0.38461538461538464
b'Carlinhos',PAU,6.0,6.0,312.0,923.0,20.0,14.0,14.0,8.0,1.7307692307692308,1.7307692307692308,1.3651137594799567,0.7800650054171181
b'Miguel Eduardo Caneo',ARS,7.0,2.0,250.0,1539.0,23.0,19.0,16.0,17.0,2.52,0.72,0.935672514619883,0.9941520467836257
b'Jason Silva',Palestino,0.0,0.0,33.0,438.0,7.0,3.0,7.0,3.0,0.0,0.0,1.4383561643835616,0.6164383561643836
b'Ad?n Balb?n',UDS,1.0,6.0,185.0,2.0,1.0,6.0,0.0,0.0,0.4864864864864865,2.918918918918919,0.0,0.0
b'Horacio Orzan',TIG,1.0,3.0,203.0,1682.0,23.0,23.0,22.0,20.0,0.4433497536945813,1.3300492610837438,1.1771700356718193,1.070154577883472
b'Gabriel Mercado',CARP,31.0,17.0,1616.0,1026.0,46.0,33.0,15.0,16.0,1.7264851485148516,0.9467821782178217,1.3157894736842106,1.4035087719298245
b'Marcelo Palau Balzaretti',Guaraní,2.0,1.0,96.0,0.0,2.0,1.0,0.0,0.0,1.875,0.9375,0.0,0.0
b'Joaqu?n Pereyra',ROS,2.0,1.0,83.0,2762.0,38.0,29.0,36.0,28.0,2.1686746987951806,1.0843373493975903,1.1730629978276612,0.9123823316437364
b'Ariel Colzera',TEMP,13.0,17.0,796.0,1093.0,16.0,26.0,3.0,9.0,1.4698492462311559,1.9221105527638191,0.24702653247941445,0.7410795974382434
b'Jefferson Javier Hurtado Orovio',Aucas,2.0,2.0,187.0,0.0,2.0,2.0,0.0,0.0,0.9625668449197861,0.9625668449197861,0.0,0.0
b'Lucas Salas',SMSJ,18.0,18.0,933.0,878.0,25.0,25.0,7.0,7.0,1.7363344051446945,1.7363344051446945,0.7175398633257403,0.7175398633257403
b'Fernando Monetti',LAN,32.0,11.0,2069.0,93.0,33.0,14.0,1.0,3.0,1.3919768003866602,0.47849202513291444,0.967741935483871,2.903225806451613
b'Ricardo Salcedo',SHO,1.0,2.0,195.0,184.0,3.0,4.0,2.0,2.0,0.46153846153846156,0.9230769230769231,0.9782608695652174,0.9782608695652174
b'Mauricio Carrasco',CAP,17.0,21.0,956.0,941.0,20.0,28.0,3.0,7.0,1.600418410041841,1.9769874476987448,0.2869287991498406,0.6695005313496281
b'Mauro Marconato',CAP,1.0,0.0,108.0,1789.0,20.0,28.0,19.0,28.0,0.8333333333333334,0.0,0.9558412520961431,1.40860816098379
b'Gerzon Chac?n',Dep Táchira,0.0,4.0,91.0,660.0,7.0,13.0,7.0,9.0,0.0,3.956043956043956,0.9545454545454546,1.2272727272727273
b'Federico Crivelli',TEMP,14.0,21.0,1452.0,437.0,16.0,26.0,2.0,5.0,0.8677685950413223,1.3016528925619835,0.41189931350114417,1.0297482837528604
b'Oswaldo Minda',BAR,0.0,1.0,10.0,179.0,2.0,2.0,2.0,1.0,0.0,9.0,1.005586592178771,0.5027932960893855
b'Juninho',Coritiba FBC,3.0,4.0,282.0,0.0,3.0,4.0,0.0,0.0,0.9574468085106383,1.2765957446808511,0.0,0.0
b'Lucas Cavallini',Fénix ,1.0,2.0,173.0,19.0,1.0,2.0,0.0,0.0,0.5202312138728323,1.0404624277456647,0.0,0.0
b'Diego Milito',RAC,27.0,16.0,1089.0,1638.0,49.0,37.0,22.0,21.0,2.231404958677686,1.322314049586777,1.2087912087912087,1.1538461538461537
b'Omar Albornoz',TOL,0.0,0.0,94.0,846.0,12.0,11.0,12.0,11.0,0.0,0.0,1.2765957446808511,1.1702127659574468
b'Agust?n Coscia',ROS,0.0,0.0,21.0,2824.0,38.0,29.0,38.0,29.0,0.0,0.0,1.2110481586402266,0.9242209631728046
b'Lucas Mugni',NOB,3.0,5.0,249.0,1630.0,22.0,23.0,19.0,18.0,1.0843373493975903,1.8072289156626506,1.049079754601227,0.9938650306748467
b'Gustavo Rojas',Deportivo La,6.0,4.0,441.0,221.0,8.0,9.0,2.0,5.0,1.2244897959183674,0.8163265306122449,0.8144796380090498,2.0361990950226243
b'Franklin Emir Gonz?lez',Trujillanos,4.0,10.0,173.0,390.0,7.0,17.0,3.0,7.0,2.0809248554913293,5.202312138728324,0.6923076923076923,1.6153846153846154
b'Diaz Sergio',Cerro Porteñ,6.0,7.0,254.0,878.0,17.0,13.0,11.0,6.0,2.125984251968504,2.4803149606299213,1.1275626423690206,0.6150341685649203
b'Fernando Gaibor',Emelec,18.0,19.0,790.0,155.0,18.0,19.0,0.0,0.0,2.050632911392405,2.1645569620253164,0.0,0.0
b'Mart?n Cauteruccio',SL,25.0,20.0,1356.0,1471.0,41.0,34.0,16.0,14.0,1.6592920353982301,1.3274336283185841,0.9789259007477906,0.8565601631543168
b'Diego Mateo',NOB,15.0,12.0,1156.0,723.0,22.0,23.0,7.0,11.0,1.1678200692041523,0.9342560553633218,0.8713692946058091,1.3692946058091287
b'Rodrigo Mu?oz',Libertad,0.0,4.0,186.0,0.0,0.0,4.0,0.0,0.0,0.0,1.935483870967742,0.0,0.0
b'Claudio Corval?n',ARS,22.0,16.0,1626.0,163.0,23.0,19.0,1.0,3.0,1.2177121771217712,0.8856088560885609,0.5521472392638037,1.656441717791411
b'Luis Luis Le?n',Independient,5.0,2.0,261.0,1156.0,19.0,14.0,14.0,12.0,1.7241379310344827,0.6896551724137931,1.0899653979238755,0.9342560553633218
b'Mat?as Manzano',Deportivo La,2.0,5.0,163.0,499.0,8.0,9.0,6.0,4.0,1.1042944785276074,2.7607361963190185,1.0821643286573146,0.7214428857715431
b'Alexander Succar',SCL,0.0,0.0,12.0,554.0,9.0,15.0,9.0,15.0,0.0,0.0,1.4620938628158844,2.436823104693141
b'Diego Casta?o',TIG,0.0,0.0,42.0,1843.0,23.0,23.0,23.0,23.0,0.0,0.0,1.12316874660879,1.12316874660879
b'Cesar Amaya Solano',DCI,3.0,7.0,139.0,418.0,7.0,18.0,4.0,11.0,1.9424460431654675,4.532374100719425,0.861244019138756,2.3684210526315788
b'Rodinei',Flamengo,3.0,4.0,202.0,95.0,6.0,5.0,3.0,1.0,1.3366336633663367,1.7821782178217822,2.8421052631578947,0.9473684210526315
b'Emanuel M?s',SL,34.0,26.0,2293.0,534.0,41.0,34.0,7.0,8.0,1.3344962930658526,1.020497165285652,1.1797752808988764,1.348314606741573
b'Cristian Sain',COL,4.0,1.0,135.0,1651.0,24.0,31.0,20.0,30.0,2.6666666666666665,0.6666666666666666,1.0902483343428224,1.6353725015142337
b'Anderson Santamar?a',MGR,2.0,9.0,300.0,263.0,2.0,12.0,0.0,3.0,0.6,2.7,0.0,1.026615969581749
b'Pablo Lavandeira',DMU,0.0,6.0,169.0,15.0,0.0,6.0,0.0,0.0,0.0,3.195266272189349,0.0,0.0
b'Wallace',Gremio,7.0,4.0,255.0,493.0,10.0,10.0,3.0,6.0,2.4705882352941178,1.411764705882353,0.5476673427991886,1.0953346855983772
b'Gabriel Esparza',TEMP,10.0,11.0,861.0,1028.0,16.0,26.0,6.0,15.0,1.0452961672473868,1.1498257839721255,0.5252918287937743,1.3132295719844358
b'Juli?n Vitale',IND,6.0,5.0,237.0,1921.0,30.0,14.0,24.0,9.0,2.278481012658228,1.8987341772151898,1.1244143675169183,0.4216553878188444
b'Lucas Suarez',QUI,0.0,2.0,18.0,1863.0,24.0,38.0,24.0,36.0,0.0,10.0,1.1594202898550725,1.7391304347826086
b'Michael Rangel',JUN,0.0,0.0,44.0,428.0,8.0,3.0,8.0,3.0,0.0,0.0,1.6822429906542056,0.6308411214953271
b'Iv?n Alonso',CARP,25.0,22.0,1313.0,1329.0,46.0,33.0,21.0,11.0,1.7136329017517136,1.507996953541508,1.4221218961625282,0.744920993227991
b'Benjamin Vidal',Palestino,7.0,3.0,471.0,0.0,7.0,3.0,0.0,0.0,1.3375796178343948,0.5732484076433121,0.0,0.0
