player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against
Juan Quiroga,OBB,8,11,814,697,11,20
Facundo Oreja,GLP,18,19,1484,14,18,19
Marcos Acu?a,RAC,20,13,776,730,29,26
Mat?as Noble,GLP,12,15,1025,473,18,19
Abel Masuero,CAP,16,18,1115,403,19,23
Emanuel Cecchini,BAN,2,2,157,1351,15,20
Luciano G?mez,BAN,2,5,195,1313,15,20
Esteban Rol?n,ARGJ,6,14,1004,499,11,26
Tom?s Cardona,DYJ,7,5,597,925,23,16
Facundo Castill?n,GLP,16,16,938,560,18,19
Sebastian Penco,ALDO,19,26,1352,171,19,27
Joaqu?n Molina,SMSJ,5,3,223,1302,22,20
Emmanuel Aguilera,IND,1,0,202,1297,22,12
Leonel Vangioni,CARP,12,7,723,790,20,19
Alexis Niz,SARM,5,6,932,579,10,17
Fernando Brand?n,TEMP,9,11,719,792,14,21
Maximiliano Meza,GLP,11,11,740,758,18,19
Rodrigo Erramuspe,TIG,16,12,924,583,21,17
Fabi?n Bordagaray,DYJ,23,16,1479,43,23,16
Gabriel Esparza,TEMP,7,11,793,718,14,21
Eric Remedi,BAN,4,4,508,1000,15,20
Agust?n Orion,CABJ,13,9,1099,402,14,13
Claudio P?rez,BAN,11,16,944,564,15,20
Emanuel Morales,QUI,9,14,676,828,21,31
Diego Rodr?guez,IND,3,5,469,1030,22,12
Miguel Eduardo Caneo,ARS,7,2,250,1254,21,14
Gonzalo Martinez,CARP,19,15,943,570,20,19
Lucas Wilchez,TIG,4,9,478,1029,21,17
Juan Mercier,SL,10,6,742,766,23,16
Emanuel Dening,SMSJ,22,20,1349,176,22,20
Mauro Pitt?n,USF,7,6,421,1088,24,21
Emanuel Mammana,CARP,8,7,585,928,20,19
Cristian Palomeque Valoyes,COL,2,4,75,1428,21,31
Jes?s Gabriel Morales,RAF,11,18,679,829,14,32
Yamil Asad,VEL,13,15,621,888,19,19
Mart?n Cauteruccio,SL,12,9,622,886,23,16
Javier Yacuzzi,DYJ,0,2,26,1496,23,16
David Ram?rez,GCM,7,4,181,1326,27,14
Leonardo Gil,EST,7,3,375,1131,25,11
Juan Sills,OBB,10,13,1012,499,11,20
Mauricio Mart?nez,USF,24,21,1488,21,24,21
Roger Mart?nez,RAC,14,12,645,861,29,26
Federico Matias Scoppa,RAF,5,11,481,1027,14,32
Sebasti?n Blanco,SL,17,11,897,611,23,16
Miguel Torr?n,ARGJ,7,16,1125,378,11,26
Jorge Valdez Chamorro,GLP,0,2,51,1447,18,19
Nehu?n Paz,NOB,6,8,906,598,16,21
Emiliano Amor,VEL,6,5,262,1247,19,19
Fernando Alessandro Luna,ARS,8,6,559,945,21,14
Tabar? Viudez,CARP,7,9,222,1291,20,19
Federico Crivelli,TEMP,14,21,1452,59,14,21
Neri Bandiera,ALDO,9,21,863,660,19,27
Joaqu?n Boghossian,ARS,6,2,254,1250,21,14
Sebasti?n Saja,RAC,25,24,1127,379,29,26
Lucas Pittinari,TIG,8,9,614,893,21,17
Ezequiel Cerutti,SL,21,15,1195,313,23,16
Mart?n Rivero,ALDO,19,27,1410,113,19,27
Facundo Callejo,CAP,1,0,14,1504,19,23
Romiro Arias,ALDO,9,12,694,829,19,27
Braian Cufr?,VEL,8,10,550,959,19,19
Gast?n Gil Romeo,ROS,4,4,303,1216,17,15
Juan Celaya,QUI,17,20,979,525,21,31
Gustavo Colman,ROS,7,7,691,828,17,15
