home_score,away_score,first_goal,home_team,away_team
1,1,away,TIG,SL
0,1,away,COL,BEL
0,1,away,CRU,CARP
1,0,home,RAC,ARGJ
4,0,home,ROS,GLP
0,1,away,DYJ,QUI
3,0,home,CABJ,BAN
0,1,away,SMSJ,SARM
1,2,away,TEMP,ARS
1,2,away,GCM,RAC
1,0,home,BEL,DYJ
2,0,home,QUI,SMSJ
1,1,home,ARS,RAF
0,1,away,SARM,EST
2,1,home,ARGJ,TIG
2,2,home,SL,ROS
2,2,home,GLP,OBB
1,2,home,VEL,NCHI
3,0,home,GCM,TEMP
2,0,home,NOB,HUR
3,0,home,IND,CARP
3,1,home,ALDO,LAN
1,0,home,DYJ,CARP
3,0,home,HUR,SARM
0,4,away,CRU,IND
5,0,home,NCHI,NOB
1,4,home,RAF,GCM
3,1,home,COL,ARS
1,1,home,SMSJ,BEL
4,1,away,EST,QUI
0,1,away,LAN,VEL
2,1,home,OBB,SL
2,0,home,ROS,ARGJ
3,1,home,TIG,BAN
1,1,away,CARP,ALDO
3,1,home,RAC,CABJ
1,3,away,TEMP,GLP
1,3,away,GCM,COL
1,2,away,SARM,NCHI
2,1,home,BEL,EST
1,0,home,GLP,RAF
0,1,away,VEL,CARP
3,0,home,RAC,CRU
1,1,home,NOB,LAN
2,1,home,QUI,HUR
2,1,home,BAN,ROS
1,0,home,CABJ,TIG
2,0,home,SL,TEMP
1,0,home,ALDO,IND
1,0,home,ARS,DYJ
0,1,away,ARGJ,OBB
2,1,home,LAN,SARM
1,1,home,DYJ,GCM
2,1,away,COL,GLP
1,0,home,SMSJ,ARS
2,0,home,EST,USF
1,2,away,OBB,BAN
0,2,away,CARP,NOB
0,1,away,RAF,SL
3,1,away,ROS,CABJ
1,0,home,IND,VEL
2,1,home,NCHI,QUI
0,2,away,CRU,ALDO
1,4,away,TIG,COL
4,1,away,IND,BEL
5,1,home,GLP,SMSJ
2,1,home,RAC,EST
1,2,away,USF,ALDO
0,1,away,QUI,OBB
1,0,home,BAN,ARGJ
0,1,away,COL,BEL
0,1,away,OBB,EST
1,0,home,LAN,GLP
0,2,away,IND,RAC
2,3,home,ALDO,BAN
1,1,away,BAN,ALDO
1,1,away,BEL,COL
4,0,home,EST,OBB
1,2,away,RAC,IND
1,2,away,GLP,LAN
