home_score,away_score,first_goal,home_team,away_team
2,1,away,RAF,LAN
1,0,home,QUI,GCM
1,0,home,CARP,ROS
2,3,home,CABJ,NOB
1,0,home,COL,QUI
0,3,away,SL,ARGJ
3,1,home,TIG,RAC
2,1,home,CABJ,RAF
1,1,away,LAN,EST
1,2,home,BEL,GLP
0,2,away,RAF,NOB
0,2,away,RAC,ARS
1,0,home,ARGJ,TIG
1,0,home,ROS,GCM
1,1,away,OBB,ALLB
1,2,away,CARP,COL
2,0,home,EST,CABJ
3,2,home,QUI,SL
3,0,home,NOB,GLP
1,1,home,NOB,EST
1,0,home,ALLB,RAC
2,1,home,COL,ROS
2,1,away,CABJ,VEL
1,0,home,SL,CARP
3,2,away,BEL,RAF
3,0,home,LAN,OBB
3,0,home,VEL,NOB
1,1,home,EST,BEL
1,0,home,GCM,COL
1,0,home,ARGJ,ALLB
2,1,home,RAF,GLP
0,1,away,QUI,ARS
0,2,away,ROS,SL
3,0,home,CARP,TIG
3,0,home,OBB,CABJ
4,0,home,LAN,ARGJ
3,0,home,BEL,VEL
2,1,away,NOB,OBB
4,0,home,ALLB,QUI
1,0,home,RAF,EST
2,0,home,TIG,ROS
2,0,home,CABJ,RAC
1,1,away,ARS,CARP
2,0,home,GCM,TIG
0,1,away,RAC,NOB
1,1,home,OBB,BEL
1,1,away,ROS,ARS
0,2,away,COL,SL
1,1,away,EST,GLP
1,0,home,CARP,ALLB
4,1,home,VEL,RAF
1,0,home,ARS,GCM
1,1,home,ALLB,ROS
3,0,home,SL,GLP
2,0,home,RAF,OBB
2,0,home,NOB,ARGJ
1,0,home,TIG,COL
3,0,home,BEL,RAC
2,0,home,CABJ,QUI
0,1,away,LAN,CARP
1,3,away,ARGJ,BEL
1,1,away,OBB,EST
0,2,away,QUI,NOB
0,1,away,CARP,CABJ
0,1,away,RAC,RAF
0,1,away,COL,ARS
2,0,home,GCM,ALLB
2,1,away,GLP,VEL
2,1,home,ROS,LAN
1,0,home,RAF,ARGJ
0,1,away,BEL,QUI
2,1,away,ARS,SL
1,2,home,VEL,OBB
1,1,home,CABJ,ROS
1,0,home,NOB,CARP
1,1,away,TIG,GLP
0,1,away,LAN,GCM
1,1,away,QUI,RAF
1,0,home,ARGJ,EST
0,1,away,RAC,VEL
0,3,away,COL,LAN
3,0,home,SL,ALLB
2,2,home,GLP,OBB
2,1,home,ROS,NOB
2,1,away,TIG,ARS
2,2,away,GCM,CABJ
2,0,home,VEL,ARGJ
3,2,home,LAN,SL
0,1,away,BEL,ROS
1,1,home,NOB,GCM
2,0,home,CABJ,COL
1,1,home,ARS,GLP
1,0,home,EST,QUI
0,1,away,OBB,RAC
1,1,home,ARS,ALLB
2,2,home,COL,NOB
4,0,home,ARGJ,OBB
3,2,away,ROS,RAF
1,1,away,GCM,BEL
1,3,away,GLP,RAC
1,1,home,QUI,VEL
2,3,away,TIG,LAN
1,0,home,SL,CABJ
1,2,home,CARP,EST
3,1,home,RAF,GCM
0,1,away,OBB,QUI
2,1,home,ALLB,GLP
1,1,home,NOB,SL
2,0,home,BEL,COL
0,1,away,RAC,ARGJ
2,0,home,LAN,ARS
2,3,home,ALLB,LAN
2,1,home,GCM,EST
1,1,home,QUI,RAC
2,3,away,ROS,VEL
1,3,home,CARP,OBB
3,2,home,ARS,CABJ
2,1,away,TIG,NOB
2,1,away,VEL,GCM
1,1,away,ARGJ,QUI
1,0,home,OBB,ROS
2,2,home,RAF,SL
0,2,away,CABJ,ALLB
1,1,home,NOB,ARS
1,0,home,RAC,CARP
1,0,home,EST,COL
0,1,away,GCM,OBB
1,1,home,ROS,RAC
0,2,away,COL,VEL
3,1,home,TIG,RAF
3,1,home,ALLB,NOB
3,2,home,GLP,QUI
2,2,home,LAN,CABJ
1,0,home,BEL,ALLB
2,0,home,RAC,GCM
1,2,away,ARGJ,ROS
1,1,home,RAF,ARS
0,2,away,EST,TIG
1,1,away,CABJ,GLP
1,1,home,QUI,CARP
1,0,home,OBB,COL
