home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
BEL,RAF,0,0,0,0,8,9,2,3,48,52,4,2,0,0
QUI,COL,1,0,0,0,11,10,8,3,43,57,3,1,0,0
OBB,GCM,1,0,0,0,23,6,6,0,41,59,4,2,0,2
RAF,USF,2,3,0,2,19,9,7,4,57,43,4,2,1,1
NCHI,ALDO,3,1,0,1,18,12,8,3,50,50,0,2,1,1
TIG,SL,1,1,0,0,10,8,4,4,45,55,5,2,0,0
COL,BEL,0,1,0,0,20,8,7,2,65,35,2,3,0,0
CRU,CARP,0,1,0,0,9,12,4,7,28,72,2,2,0,0
RAC,ARGJ,1,0,0,0,17,6,7,1,64,36,2,3,0,1
HUR,VEL,0,0,0,0,17,12,2,2,52,48,2,4,0,0
ROS,GLP,4,0,1,0,14,8,5,1,59,41,3,6,0,0
DYJ,QUI,0,1,0,0,20,10,6,5,58,42,4,4,1,0
CABJ,BAN,3,0,0,0,18,4,10,1,58,42,2,0,0,1
SMSJ,SARM,0,1,0,0,10,5,3,2,59,41,2,2,0,0
LAN,IND,1,1,0,0,11,20,2,9,45,55,1,1,0,0
TEMP,ARS,1,2,0,1,17,9,4,3,58,42,3,4,0,0
EST,NOB,0,2,0,0,18,11,6,5,66,34,3,2,0,0
GCM,RAC,1,2,0,1,12,11,7,4,61,39,2,2,0,0
BEL,DYJ,1,0,0,0,10,13,2,2,31,69,1,3,1,0
QUI,SMSJ,2,0,0,0,15,4,7,0,55,45,4,2,0,1
ARS,RAF,1,1,0,0,4,18,1,6,37,63,2,2,0,0
SARM,EST,0,1,0,1,9,7,2,4,51,49,3,4,0,0
ARGJ,TIG,2,1,0,0,15,11,6,3,52,48,3,2,0,0
SL,ROS,2,2,0,1,15,18,4,6,49,51,6,3,0,0
GLP,OBB,2,2,0,0,7,10,2,6,45,55,2,1,0,1
VEL,NCHI,1,2,0,0,17,9,5,5,62,38,3,3,0,1
USF,COL,0,0,0,0,9,9,3,2,39,61,3,4,1,0
GCM,TEMP,3,0,0,0,16,10,5,5,57,43,3,2,0,0
CABJ,CRU,1,0,0,0,17,3,5,2,70,30,0,3,0,0
NOB,HUR,2,0,0,0,11,18,4,6,44,56,1,4,1,0
IND,CARP,3,0,1,0,11,9,5,2,49,51,2,2,0,1
ALDO,LAN,3,1,0,0,15,8,8,2,51,49,3,4,0,1
BAN,RAC,0,0,0,0,14,28,5,12,47,53,3,3,0,0
DYJ,CARP,1,0,0,0,10,10,5,0,36,64,1,4,0,0
HUR,SARM,3,0,1,0,11,14,6,4,53,47,3,3,0,0
CRU,IND,0,4,0,1,7,19,2,8,24,76,2,2,1,0
NCHI,NOB,5,0,1,0,11,11,7,3,47,53,1,2,0,0
RAF,GCM,1,4,0,0,22,15,5,7,57,43,3,3,0,0
COL,ARS,3,1,1,0,12,12,5,3,57,43,2,2,0,0
SMSJ,BEL,1,1,0,0,9,13,2,2,57,43,1,3,1,0
EST,QUI,4,1,0,0,11,7,6,1,49,51,3,4,0,0
LAN,VEL,0,1,0,0,8,13,2,3,60,40,3,3,0,0
OBB,SL,2,1,0,0,11,7,5,2,39,61,3,1,0,0
ROS,ARGJ,2,0,0,0,16,7,5,1,71,29,1,2,0,2
TIG,BAN,3,1,0,0,11,12,5,4,41,59,3,0,0,0
CARP,ALDO,1,1,0,0,18,10,6,4,75,25,2,4,1,0
RAC,CABJ,3,1,2,0,12,10,4,3,56,44,2,4,0,2
DYJ,USF,0,0,0,0,18,8,6,1,62,38,1,3,0,0
TEMP,GLP,1,3,1,1,11,17,3,6,53,47,2,3,2,0
GCM,COL,1,3,0,0,15,9,4,7,52,48,1,0,0,0
SARM,NCHI,1,2,1,0,11,5,1,3,59,41,3,4,0,0
BEL,EST,2,1,0,0,13,6,2,2,33,67,4,2,0,0
GLP,RAF,1,0,0,0,8,9,6,3,48,52,4,1,0,0
VEL,CARP,0,1,0,0,13,12,4,6,39,61,0,0,1,0
USF,SMSJ,0,0,0,0,12,12,3,1,44,56,0,1,0,0
RAC,CRU,3,0,0,0,26,3,12,1,69,31,0,1,0,0
NOB,LAN,1,1,0,0,14,9,4,3,45,55,2,1,1,0
QUI,HUR,2,1,1,0,12,10,5,5,51,49,4,3,0,1
BAN,ROS,2,1,0,0,9,4,4,0,35,65,0,0,0,0
CABJ,TIG,1,0,0,0,14,5,5,1,61,39,1,6,0,0
SL,TEMP,2,0,0,0,11,5,5,1,61,39,1,3,0,0
ALDO,IND,1,0,0,0,9,10,3,1,32,68,2,2,0,0
ARS,DYJ,1,0,2,0,19,11,7,4,37,63,4,4,0,1
ARGJ,OBB,0,1,0,1,6,12,0,1,59,41,3,3,0,0
LAN,SARM,2,1,0,1,6,11,4,5,49,51,2,1,0,0
DYJ,GCM,1,1,0,0,22,12,6,5,63,37,4,2,0,0
COL,GLP,2,1,0,0,16,8,4,1,57,43,4,3,0,0
SMSJ,ARS,1,0,0,0,6,10,2,4,55,45,3,3,0,0
EST,USF,2,0,0,0,9,4,4,0,64,36,1,3,0,0
OBB,BAN,1,2,0,0,13,8,4,7,50,50,0,2,0,0
CARP,NOB,0,2,0,0,11,9,1,5,66,34,0,1,0,0
RAF,SL,0,1,0,0,17,7,7,1,67,33,3,3,1,1
ROS,CABJ,3,1,0,0,13,12,10,2,67,33,1,3,0,0
TIG,RAC,0,0,0,0,11,16,3,4,46,54,2,2,1,1
IND,VEL,1,0,1,0,21,5,7,0,58,42,1,1,0,1
HUR,BEL,1,1,0,0,3,6,1,4,55,45,1,1,0,0
NCHI,QUI,2,1,0,0,9,7,4,2,45,55,3,2,0,1
TEMP,ARGJ,0,0,0,0,2,1,0,0,33,67,0,0,0,0
CRU,ALDO,0,2,0,1,13,17,3,6,58,42,0,1,0,0
TIG,COL,1,4,0,0,22,23,6,5,46,54,1,3,1,0
IND,BEL,4,1,0,0,16,8,9,2,70,30,3,3,1,0
GLP,SMSJ,5,1,0,1,13,5,8,3,39,61,2,1,0,0
RAC,EST,2,1,0,0,11,13,3,6,44,56,3,3,1,1
USF,ALDO,1,2,0,0,8,12,3,3,62,38,1,2,0,0
QUI,OBB,0,1,0,0,16,10,2,5,63,37,4,4,0,0
LAN,NOB,2,1,0,1,7,7,4,1,54,46,2,3,0,1
BAN,ARGJ,1,0,0,0,8,14,2,6,49,51,2,3,0,0
COL,BEL,0,1,0,0,22,6,7,3,73,27,1,3,0,0
OBB,EST,0,1,0,0,15,15,5,7,33,67,4,3,2,0
LAN,GLP,1,0,1,0,17,6,4,2,54,46,2,5,0,0
IND,RAC,0,2,0,0,7,9,3,2,60,40,3,2,1,0
ALDO,BAN,2,3,0,0,20,14,10,5,48,52,5,1,0,0
BAN,ALDO,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BEL,COL,1,1,0,0,17,11,4,3,35,65,3,3,0,1
EST,OBB,4,0,0,0,19,6,8,3,73,27,0,2,0,0
RAC,IND,1,2,0,0,10,17,5,8,39,61,5,2,0,2
GLP,LAN,1,2,1,1,10,7,5,3,64,36,4,4,1,1
