home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
ARS,LAN,3,1,0,0,26,21,11,4,43,57,1,2,0,0
CARP,VEL,1,0,0,0,15,11,5,4,57,43,1,6,0,0
TIG,CABJ,0,1,0,0,15,6,3,2,40,60,0,2,0,0
GCM,RAF,3,0,0,0,14,5,7,1,67,33,0,2,0,0
GLP,ALLB,2,1,0,0,11,13,3,2,43,57,1,4,1,0
NOB,TIG,2,1,0,1,15,13,5,2,64,36,4,3,0,0
BEL,SL,0,0,0,0,13,10,1,3,46,54,3,1,0,0
RAF,COL,1,1,0,1,23,8,6,3,63,37,1,2,0,0
ARGJ,GLP,0,2,0,0,19,10,7,5,63,37,2,1,1,0
VEL,ROS,4,1,0,0,16,8,6,2,48,52,1,3,0,1
RAC,QUI,0,1,0,0,11,13,2,5,61,39,2,3,0,1
EST,GCM,0,1,0,0,20,10,6,4,49,51,3,1,0,0
LAN,ALLB,1,0,0,0,12,16,3,7,54,46,5,1,0,0
CABJ,ARS,4,2,1,1,14,7,8,3,55,45,2,6,0,0
OBB,CARP,1,1,0,0,12,12,4,4,37,63,3,2,0,0
LAN,TIG,0,0,0,0,7,10,0,4,56,44,3,3,0,1
QUI,ARGJ,1,0,0,0,9,10,3,0,32,68,1,3,0,1
COL,EST,0,2,0,1,9,14,4,7,42,58,2,3,1,0
ROS,OBB,0,0,0,0,11,13,2,2,59,41,2,2,0,0
GCM,VEL,1,1,0,0,15,11,9,3,52,48,0,2,0,2
SL,RAF,2,0,0,0,12,8,3,2,61,39,2,6,0,1
ARS,NOB,3,2,0,1,24,16,9,5,28,72,1,3,0,0
GLP,LAN,0,0,0,0,8,11,2,0,40,60,3,1,0,0
CARP,RAC,3,2,1,1,13,11,4,3,60,40,2,4,1,0
ALLB,CABJ,1,3,0,0,10,18,3,8,46,54,3,2,0,0
TIG,BEL,2,1,0,0,17,13,7,6,60,40,2,2,0,2
OBB,GCM,3,1,1,0,10,7,6,2,39,61,3,3,1,1
EST,SL,3,0,0,0,13,8,4,2,45,55,1,5,0,0
NOB,ALLB,4,2,0,0,14,19,10,7,57,43,3,4,0,0
RAF,TIG,1,1,0,0,20,8,9,3,58,42,3,5,1,0
VEL,COL,2,0,0,0,14,13,6,5,63,37,2,2,0,1
RAC,ROS,0,0,0,0,15,9,4,2,61,39,1,2,0,0
BEL,ARS,0,0,0,0,18,11,2,1,47,53,2,3,0,0
QUI,GLP,2,0,0,0,7,8,2,4,46,54,3,3,0,0
CABJ,LAN,3,1,0,0,14,7,7,2,50,50,2,4,1,0
ARGJ,CARP,0,2,0,0,6,16,1,8,36,64,2,2,0,0
ALLB,BEL,0,0,0,0,17,19,5,5,50,50,0,1,0,0
ROS,ARGJ,3,2,0,0,12,12,8,7,41,59,2,4,0,0
ARS,RAF,1,2,0,0,10,12,5,4,55,45,0,3,0,0
COL,OBB,2,1,1,0,9,6,5,2,43,57,3,2,0,0
GCM,RAC,2,1,0,0,15,6,6,4,47,53,1,1,0,1
GLP,CABJ,0,1,0,0,14,8,2,2,54,46,3,2,1,0
CARP,QUI,5,0,0,0,12,3,8,0,67,33,4,1,0,0
TIG,EST,2,1,0,0,10,20,6,5,52,48,1,2,0,2
LAN,NOB,1,1,0,0,23,8,8,5,40,60,2,3,1,0
SL,VEL,2,3,0,1,25,15,4,9,54,46,2,2,0,0
SL,CARP,0,1,0,0,8,5,5,1,47,53,3,4,0,0
GCM,BAN,3,0,0,0,7,16,4,4,44,56,0,2,0,0
ROS,QUI,3,1,0,0,13,9,7,2,60,40,3,2,0,0
DYJ,RAC,1,3,0,0,12,13,2,6,46,54,2,3,1,1
IND,RAF,3,0,0,0,13,6,8,4,65,35,0,1,0,0
CABJ,NOB,0,1,0,0,17,8,6,4,55,45,0,4,0,0
GLP,CARP,1,1,0,0,13,15,6,5,40,60,2,1,0,0
ARS,EST,2,1,0,0,12,15,4,7,44,56,0,4,0,0
TIG,VEL,0,1,0,0,7,13,0,4,47,53,0,1,0,1
LAN,BEL,1,0,0,0,8,15,5,2,47,53,2,3,0,0
NOB,GLP,1,1,0,0,11,8,4,4,69,31,3,4,0,1
OBB,TIG,2,1,2,1,19,6,9,2,46,54,2,5,0,0
BAN,DYJ,2,3,1,0,21,14,9,5,52,48,1,3,0,0
VEL,ARS,2,1,0,0,14,24,9,6,54,46,3,3,0,0
EST,IND,1,0,0,0,3,5,2,1,31,69,1,4,0,0
RAC,SL,2,0,0,0,6,5,3,1,43,57,3,4,1,0
CARP,ROS,2,0,0,0,15,3,6,0,58,42,1,4,0,0
BEL,CABJ,0,1,0,0,11,8,2,3,45,55,4,4,0,0
QUI,GCM,2,2,0,1,15,14,8,5,33,67,4,1,0,0
RAF,LAN,2,1,0,0,9,20,4,6,35,65,0,1,1,0
ARS,OBB,1,0,0,0,5,7,1,2,36,64,0,2,0,0
