home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
TIG,VEL,3,0,0,0,5,14,3,3,39,61,13,13,1,5,0,0
ROS,NOB,0,0,0,0,10,7,3,1,66,34,19,20,4,7,0,0
EST,GLP,1,1,0,0,10,7,4,3,65,35,16,17,2,4,0,0
COL,USF,0,0,0,0,17,13,9,2,58,42,12,12,3,3,1,0
CARP,CABJ,0,1,0,0,6,8,2,3,57,43,20,20,3,4,0,0
LAN,BAN,0,1,0,0,10,10,0,7,61,39,13,24,4,6,1,0
ALDO,CRU,2,0,0,0,12,14,2,4,45,55,12,13,3,3,1,0
TEMP,QUI,0,0,0,0,4,24,1,5,33,67,15,15,1,2,1,0
SARM,DYJ,2,1,0,0,18,5,5,2,47,53,9,8,0,1,0,0
ALDO,HUR,0,0,0,0,7,14,2,4,40,60,15,12,4,3,0,0
ARGJ,CABJ,1,3,0,0,9,11,3,4,42,58,9,13,3,3,1,0
GCM,ROS,1,3,0,0,8,13,3,6,57,43,23,13,4,1,0,0
IND,NCHI,2,1,0,0,15,12,6,4,65,35,9,14,2,2,0,0
GLP,TIG,1,1,0,0,12,10,5,3,68,32,18,23,1,3,0,1
NOB,SMSJ,1,0,0,0,11,10,2,3,38,62,11,11,1,4,1,0
VEL,EST,0,1,0,0,13,9,5,2,50,50,20,15,2,3,0,0
ARS,OBB,2,1,1,1,13,9,4,3,45,55,19,15,2,3,0,0
BAN,CRU,2,1,0,0,16,7,4,3,56,44,13,10,1,1,0,0
USF,TEMP,2,1,0,0,15,11,4,2,56,44,22,19,5,3,0,1
CARP,LAN,1,1,0,0,13,7,4,2,71,29,14,13,2,6,0,0
SL,RAC,2,1,0,0,8,21,4,6,50,50,22,19,4,3,0,0
BEL,RAF,0,0,0,0,8,9,2,3,48,52,14,9,4,2,0,0
QUI,COL,1,0,0,0,11,10,8,3,43,57,13,15,3,1,0,0
OBB,GCM,1,0,0,0,23,6,6,0,41,59,17,15,4,2,0,2
RAF,USF,2,3,0,2,19,9,7,4,57,43,17,12,4,2,1,1
NCHI,ALDO,3,1,0,1,18,12,8,3,50,50,11,14,0,2,1,1
TIG,SL,1,1,0,0,10,8,4,4,45,55,20,16,5,2,0,0
COL,BEL,0,1,0,0,20,8,7,2,65,35,11,9,2,3,0,0
CRU,CARP,0,1,0,0,9,12,4,7,28,72,16,9,2,2,0,0
RAC,ARGJ,1,0,0,0,17,6,7,1,64,36,10,14,2,3,0,1
HUR,VEL,0,0,0,0,17,12,2,2,52,48,19,25,2,4,0,0
ROS,GLP,4,0,1,0,14,8,5,1,59,41,17,15,3,6,0,0
DYJ,QUI,0,1,0,0,20,10,6,5,58,42,10,26,4,4,1,0
CABJ,BAN,3,0,0,0,18,4,10,1,58,42,16,11,2,0,0,1
SMSJ,SARM,0,1,0,0,10,5,3,2,59,41,10,11,2,2,0,0
LAN,IND,1,1,0,0,11,20,2,9,45,55,12,15,1,1,0,0
TEMP,ARS,1,2,0,1,17,9,4,3,58,42,13,15,3,4,0,0
EST,NOB,0,2,0,0,18,11,6,5,66,34,12,16,3,2,0,0
GCM,RAC,1,2,0,1,12,11,7,4,61,39,16,9,2,2,0,0
BEL,DYJ,1,0,0,0,10,13,2,2,31,69,8,10,1,3,1,0
QUI,SMSJ,2,0,0,0,15,4,7,0,55,45,21,19,4,2,0,1
ARS,RAF,1,1,0,0,4,18,1,6,37,63,11,18,2,2,0,0
SARM,EST,0,1,0,1,9,7,2,4,51,49,19,13,3,4,0,0
ARGJ,TIG,2,1,0,0,15,11,6,3,52,48,17,19,3,2,0,0
SL,ROS,2,2,0,1,15,18,4,6,49,51,14,22,6,3,0,0
GLP,OBB,2,2,0,0,7,10,2,6,45,55,24,18,2,1,0,1
VEL,NCHI,1,2,0,0,17,9,5,5,62,38,14,17,3,3,0,1
USF,COL,0,0,0,0,9,9,3,2,39,61,26,20,3,4,1,0
GCM,TEMP,3,0,0,0,16,10,5,5,57,43,12,10,3,2,0,0
CABJ,CRU,1,0,0,0,17,3,5,2,70,30,6,10,0,3,0,0
NOB,HUR,2,0,0,0,11,18,4,6,44,56,11,11,1,4,1,0
IND,CARP,3,0,1,0,11,9,5,2,49,51,21,19,2,2,0,1
ALDO,LAN,3,1,0,0,15,8,8,2,51,49,16,13,3,4,0,1
BAN,RAC,0,0,0,0,14,28,5,12,47,53,10,10,3,3,0,0
DYJ,CARP,1,0,0,0,10,10,5,0,36,64,15,16,1,4,0,0
HUR,SARM,3,0,1,0,11,14,6,4,53,47,16,20,3,3,0,0
CRU,IND,0,4,0,1,7,19,2,8,24,76,10,6,2,2,1,0
NCHI,NOB,5,0,1,0,11,11,7,3,47,53,9,14,1,2,0,0
RAF,GCM,1,4,0,0,22,15,5,7,57,43,18,17,3,3,0,0
COL,ARS,3,1,1,0,12,12,5,3,57,43,17,19,2,2,0,0
SMSJ,BEL,1,1,0,0,9,13,2,2,57,43,13,15,1,3,1,0
EST,QUI,4,1,0,0,11,7,6,1,49,51,23,19,3,4,0,0
LAN,VEL,0,1,0,0,8,13,2,3,60,40,21,18,3,3,0,0
OBB,SL,2,1,0,0,11,7,5,2,39,61,12,12,3,1,0,0
ROS,ARGJ,2,0,0,0,16,7,5,1,71,29,12,15,1,2,0,2
TIG,BAN,3,1,0,0,11,12,5,4,41,59,11,13,3,0,0,0
CARP,ALDO,1,1,0,0,18,10,6,4,75,25,13,18,2,4,1,0
RAC,CABJ,3,1,2,0,12,10,4,3,56,44,10,14,2,4,0,2
DYJ,USF,0,0,0,0,18,8,6,1,62,38,12,16,1,3,0,0
TEMP,GLP,1,3,1,1,11,17,3,6,53,47,16,20,2,3,2,0
GCM,COL,1,3,0,0,15,9,4,7,52,48,18,5,1,0,0,0
SARM,NCHI,1,2,1,0,11,5,1,3,59,41,16,20,3,4,0,0
BEL,EST,2,1,0,0,13,6,2,2,33,67,20,12,4,2,0,0
GLP,RAF,1,0,0,0,8,9,6,3,48,52,16,9,4,1,0,0
VEL,CARP,0,1,0,0,13,12,4,6,39,61,16,11,0,0,1,0
USF,SMSJ,0,0,0,0,12,12,3,1,44,56,15,15,0,1,0,0
RAC,CRU,3,0,0,0,26,3,12,1,69,31,8,11,0,1,0,0
NOB,LAN,1,1,0,0,14,9,4,3,45,55,11,12,2,1,1,0
QUI,HUR,2,1,1,0,12,10,5,5,51,49,17,20,4,3,0,1
BAN,ROS,2,1,0,0,9,4,4,0,35,65,5,6,0,0,0,0
CABJ,TIG,1,0,0,0,14,5,5,1,61,39,17,18,1,6,0,0
SL,TEMP,2,0,0,0,11,5,5,1,61,39,11,11,1,3,0,0
ALDO,IND,1,0,0,0,9,10,3,1,32,68,14,15,2,2,0,0
ARS,DYJ,1,0,2,0,19,11,7,4,37,63,16,10,4,4,0,1
ARGJ,OBB,0,1,0,1,6,12,0,1,59,41,20,12,3,3,0,0
LAN,SARM,2,1,0,1,6,11,4,5,49,51,7,10,2,1,0,0
DYJ,GCM,1,1,0,0,22,12,6,5,63,37,7,18,4,2,0,0
COL,GLP,2,1,0,0,16,8,4,1,57,43,10,9,4,3,0,0
SMSJ,ARS,1,0,0,0,6,10,2,4,55,45,14,17,3,3,0,0
EST,USF,2,0,0,0,9,4,4,0,64,36,10,14,1,3,0,0
OBB,BAN,1,2,0,0,13,8,4,7,50,50,10,16,0,2,0,0
CARP,NOB,0,2,0,0,11,9,1,5,66,34,8,8,0,1,0,0
RAF,SL,0,1,0,0,17,7,7,1,67,33,17,15,3,3,1,1
ROS,CABJ,3,1,0,0,13,12,10,2,67,33,9,16,1,3,0,0
TIG,RAC,0,0,0,0,11,16,3,4,46,54,15,11,2,2,1,1
IND,VEL,1,0,1,0,21,5,7,0,58,42,8,15,1,1,0,1
HUR,BEL,1,1,0,0,3,6,1,4,55,45,7,11,1,1,0,0
NCHI,QUI,2,1,0,0,9,7,4,2,45,55,19,19,3,2,0,1
TEMP,ARGJ,0,0,0,0,2,1,0,0,33,67,7,16,0,0,0,0
CRU,ALDO,0,2,0,1,13,17,3,6,58,42,14,10,0,1,0,0
TIG,COL,1,4,0,0,22,23,6,5,46,54,10,16,1,3,1,0
IND,BEL,4,1,0,0,16,8,9,2,70,30,16,16,3,3,1,0
GLP,SMSJ,5,1,0,1,13,5,8,3,39,61,13,9,2,1,0,0
RAC,EST,2,1,0,0,11,13,3,6,44,56,17,18,3,3,1,1
USF,ALDO,1,2,0,0,8,12,3,3,62,38,18,13,1,2,0,0
QUI,OBB,0,1,0,0,16,10,2,5,63,37,12,16,4,4,0,0
LAN,NOB,2,1,0,1,7,7,4,1,54,46,12,12,2,3,0,1
BAN,ARGJ,1,0,0,0,8,14,2,6,49,51,17,17,2,3,0,0
COL,BEL,0,1,0,0,22,6,7,3,73,27,10,17,1,3,0,0
OBB,EST,0,1,0,0,15,15,5,7,33,67,19,12,4,3,2,0
LAN,GLP,1,0,1,0,17,6,4,2,54,46,13,15,2,5,0,0
IND,RAC,0,2,0,0,7,9,3,2,60,40,14,17,3,2,1,0
ALDO,BAN,2,3,0,0,20,14,10,5,48,52,16,8,5,1,0,0
BAN,ALDO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,COL,1,1,0,0,17,11,4,3,35,65,16,19,3,3,0,1
EST,OBB,4,0,0,0,19,6,8,3,73,27,10,9,0,2,0,0
RAC,IND,1,2,0,0,10,17,5,8,39,61,11,18,5,2,0,2
GLP,LAN,1,2,1,1,10,7,5,3,64,36,19,15,4,4,1,1
