home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
ROS,GCM,0,1,0,0,15,7,3,2,55,45,20,14,2,3,1,1
CARP,DYJ,3,0,0,0,25,11,11,3,59,41,9,10,1,2,0,0
EST,CABJ,3,1,0,0,14,8,3,3,44,56,13,11,1,2,0,0
BAN,TIG,1,0,0,0,19,11,6,0,49,51,8,11,3,3,0,1
VEL,LAN,1,0,0,0,11,11,4,4,53,47,13,12,1,2,0,0
GLP,GCM,2,0,0,0,11,9,4,6,47,53,20,16,3,2,0,0
DYJ,ROS,1,3,0,0,18,13,7,5,57,43,11,19,1,5,0,0
NOB,EST,1,0,0,0,12,7,4,2,61,39,10,9,4,2,0,0
IND,RAC,2,1,0,0,10,11,5,2,49,51,24,12,4,2,0,0
CABJ,VEL,3,1,0,0,20,6,7,4,53,47,8,15,2,2,1,0
LAN,OBB,1,1,0,0,7,9,0,4,64,36,15,13,3,2,0,0
ARS,BAN,1,0,0,0,8,10,3,0,39,61,13,15,1,0,0,1
TIG,QUI,0,0,0,0,9,12,2,0,52,48,23,22,5,3,0,0
RAF,GLP,2,0,1,0,17,13,7,4,49,51,13,10,1,3,0,1
VEL,NOB,0,0,0,0,22,4,7,0,57,43,10,13,0,2,0,0
EST,BEL,3,1,0,0,12,11,3,1,56,44,11,19,1,2,1,0
BAN,IND,0,1,0,0,10,15,2,4,46,54,10,19,1,4,1,0
ROS,SL,1,1,0,0,19,7,8,4,62,38,10,9,1,3,0,0
GCM,DYJ,1,1,0,0,16,11,3,3,53,47,15,16,2,1,0,0
RAC,LAN,1,3,0,1,21,9,6,5,54,46,21,11,4,3,1,0
CARP,TIG,2,0,0,0,22,2,11,0,62,38,15,15,1,2,0,1
QUI,ARS,4,0,0,0,13,16,8,3,46,54,16,15,5,4,0,0
GLP,DYJ,0,3,0,0,9,10,4,5,46,54,9,10,1,1,0,0
SL,GCM,2,1,1,0,13,13,5,2,45,55,15,12,1,1,0,0
TIG,ROS,4,1,1,0,17,13,7,4,38,62,20,11,4,3,0,0
RAF,EST,1,0,1,0,10,14,5,5,58,42,11,19,3,3,0,2
IND,QUI,5,3,2,1,19,10,12,4,64,36,16,12,2,5,0,0
LAN,BAN,1,0,0,0,8,18,1,3,48,52,14,13,3,3,0,2
BEL,VEL,1,0,0,0,15,4,7,0,33,67,18,10,3,2,0,0
NOB,OBB,1,0,1,0,9,7,2,4,72,28,18,20,2,3,0,0
QUI,LAN,0,2,0,1,14,15,4,5,43,57,13,17,2,2,0,0
EST,GLP,0,0,0,0,10,8,1,3,50,50,13,24,1,4,0,0
OBB,BEL,1,0,0,0,14,19,4,3,57,43,18,18,2,5,0,1
VEL,RAF,0,0,0,1,14,12,4,4,58,42,17,17,5,2,0,0
ROS,ARS,3,1,0,0,19,10,6,3,67,33,7,14,0,4,0,0
BAN,CABJ,1,1,0,0,18,6,9,4,51,49,9,14,2,3,0,0
CARP,IND,4,1,0,0,12,13,6,5,47,53,12,12,3,3,0,0
DYJ,SL,1,3,0,0,18,10,4,6,64,36,6,17,3,4,0,0
RAC,NOB,1,1,0,0,20,6,7,3,43,57,15,9,3,2,0,0
CABJ,RAC,1,2,0,0,12,9,3,3,60,40,17,21,3,2,0,0
ARS,CARP,1,1,1,0,14,19,7,6,34,66,13,19,1,3,0,0
EST,VEL,3,2,0,1,22,7,9,3,58,42,14,12,3,4,0,0
RAF,OBB,0,0,0,0,20,10,6,3,61,39,6,12,2,1,0,0
IND,ROS,2,0,0,0,16,13,7,2,59,41,9,13,1,4,1,0
SL,GLP,0,2,0,0,11,14,3,5,60,40,11,11,2,1,0,0
TIG,DYJ,2,1,0,0,14,19,6,6,43,57,12,16,0,4,0,0
BEL,RAC,1,4,0,0,10,18,2,10,43,57,15,15,2,2,2,0
CABJ,QUI,1,0,0,0,16,6,3,1,62,38,18,18,2,5,0,0
LAN,CARP,1,1,0,0,12,18,2,5,39,61,16,21,4,4,0,0
ARS,GCM,3,0,0,0,9,15,6,5,40,60,9,13,0,3,0,0
NOB,BAN,0,3,1,0,12,15,6,11,61,39,3,13,0,3,0,0
SL,OBB,2,0,1,0,11,6,5,0,58,42,16,12,4,0,0,0
GLP,VEL,2,0,0,0,11,8,4,2,46,54,11,17,2,4,0,0
BAN,BEL,2,2,1,0,22,16,9,6,66,34,7,22,1,2,0,0
SL,TIG,0,2,0,0,13,6,6,5,70,30,9,18,1,2,0,0
DYJ,ARS,2,1,1,0,15,12,6,2,59,41,15,18,1,2,0,1
OBB,EST,1,2,0,0,16,10,4,4,56,44,15,9,4,1,1,0
QUI,NOB,1,1,0,0,14,12,5,2,40,60,14,18,0,2,0,0
CARP,CABJ,1,1,0,0,15,5,5,4,56,44,20,15,3,2,1,1
RAC,RAF,0,2,0,0,29,17,7,3,51,49,10,13,2,1,0,0
ROS,LAN,1,2,0,0,18,13,9,7,50,50,4,11,2,2,0,0
GCM,IND,2,2,0,0,23,11,6,4,48,52,17,14,2,4,0,1
TIG,GLP,1,0,1,0,14,12,3,2,41,59,19,8,5,3,0,0
LAN,GCM,3,3,0,0,13,28,6,10,47,53,14,16,2,3,1,0
VEL,OBB,4,1,0,0,13,14,7,2,55,45,10,11,1,2,0,0
BEL,QUI,1,1,0,0,17,10,3,2,55,45,22,15,0,2,0,0
EST,RAC,0,4,0,0,10,11,2,5,62,38,9,12,0,0,0,0
RAF,BAN,2,2,0,0,18,12,6,4,46,54,16,9,3,1,0,1
IND,DYJ,1,1,0,0,19,14,7,4,56,44,15,15,1,3,0,0
CABJ,ROS,2,1,0,0,13,6,4,1,64,36,17,20,3,4,0,1
NOB,CARP,0,1,0,0,5,13,2,4,59,41,9,16,0,1,0,0
ARS,SL,0,0,0,0,13,12,5,2,51,49,17,5,2,2,0,0
GCM,TIG,4,3,0,0,25,8,9,4,74,26,11,10,4,3,0,1
GLP,OBB,0,0,0,0,11,4,2,3,59,41,15,17,0,2,1,0
QUI,RAF,0,0,0,0,18,7,9,2,49,51,12,13,0,2,0,0
SL,IND,1,2,0,1,12,12,3,4,51,49,12,22,4,2,0,0
DYJ,LAN,1,2,1,0,19,9,2,4,64,36,16,17,2,4,1,0
ROS,NOB,2,0,0,0,9,11,3,1,33,67,12,9,2,3,0,2
RAC,VEL,2,0,0,0,11,14,5,4,40,60,11,15,3,6,0,0
CARP,BEL,3,0,0,0,11,9,3,3,63,37,6,15,1,4,0,0
GCM,CABJ,2,3,0,0,17,18,9,9,45,55,9,5,1,3,0,0
TIG,ARS,1,1,0,0,14,13,6,5,55,45,23,13,4,2,0,0
BEL,ROS,1,0,0,0,15,11,1,2,39,61,16,14,2,1,0,0
IND,TIG,3,1,0,0,20,4,9,1,65,35,18,13,2,2,0,0
